subject_id,WENAPPLE0626
muscle,ForearmFlexor
test_type,Controlled_Force
mvc_trial1_kg,31.20
mvc_trial2_kg,26.90
mvc_trial3_kg,26.00
mvc_kg_100_percent,31.20
manual_mvc_trial_kg,
mvc_level,100% MVC
target_force_kg,31.20
sample_rate,1000
baseline,442.6990
rms,3.9096
battery_mv_last,3934
battery_percent_last,70
record_time,2026-06-26 14:31:18

sample_index,time_sec,adc_raw,emg_centered,battery_mv,battery_percent,mvc_kg_100_percent,mvc_level,target_force_kg,test_type
2202560,0.0000,442,-0.6990,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202561,0.0010,443,0.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202562,0.0020,443,0.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202563,0.0030,443,0.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202564,0.0040,443,0.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202565,0.0050,444,1.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202566,0.0060,443,0.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202567,0.0070,444,1.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202568,0.0080,443,0.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202569,0.0090,442,-0.6990,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202570,0.0100,441,-1.6990,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202571,0.0110,444,1.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202572,0.0120,444,1.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202573,0.0130,444,1.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202574,0.0140,444,1.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202575,0.0150,441,-1.6990,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202576,0.0160,441,-1.6990,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202577,0.0170,441,-1.6990,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202578,0.0180,441,-1.6990,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202579,0.0190,442,-0.6990,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202580,0.0200,442,-0.6990,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202581,0.0210,443,0.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202582,0.0220,443,0.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
2202583,0.0230,444,1.3010,3933,70,31.20,100% MVC,31.20,Controlled_Force
