subject_id,WENAPPLE0626
muscle,ForearmFlexor
test_type,MVC
mvc_trial1_kg,31.20
mvc_trial2_kg,0.00
mvc_trial3_kg,0.00
mvc_kg_100_percent,0.00
manual_mvc_trial_kg,31.2
mvc_level,100% MVC
target_force_kg,31.20
sample_rate,1000
baseline,442.1190
rms,4.8522
battery_mv_last,3944
battery_percent_last,70
record_time,2026-06-26 13:56:59

sample_index,time_sec,adc_raw,emg_centered,battery_mv,battery_percent,mvc_kg_100_percent,mvc_level,target_force_kg,test_type
121664,0.0000,440,-2.1190,3946,70,0.00,100% MVC,31.20,MVC
121665,0.0010,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121666,0.0020,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121667,0.0030,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121668,0.0040,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121669,0.0050,444,1.8810,3946,70,0.00,100% MVC,31.20,MVC
121670,0.0060,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121671,0.0070,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121672,0.0080,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121673,0.0090,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121674,0.0100,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121675,0.0110,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121676,0.0120,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121677,0.0130,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121678,0.0140,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121679,0.0150,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121680,0.0160,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121681,0.0170,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121682,0.0180,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121683,0.0190,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121684,0.0200,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121685,0.0210,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121686,0.0220,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121687,0.0230,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121688,0.0240,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121689,0.0250,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121690,0.0260,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121691,0.0270,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121692,0.0280,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121693,0.0290,439,-3.1190,3946,70,0.00,100% MVC,31.20,MVC
121694,0.0300,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121695,0.0310,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121696,0.0320,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121697,0.0330,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121698,0.0340,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121699,0.0350,440,-2.1190,3946,70,0.00,100% MVC,31.20,MVC
121700,0.0360,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121701,0.0370,440,-2.1190,3946,70,0.00,100% MVC,31.20,MVC
121702,0.0380,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121703,0.0390,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121704,0.0400,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121705,0.0410,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121706,0.0420,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121707,0.0430,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121708,0.0440,444,1.8810,3946,70,0.00,100% MVC,31.20,MVC
121709,0.0450,444,1.8810,3946,70,0.00,100% MVC,31.20,MVC
121710,0.0460,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121711,0.0470,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121712,0.0480,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121713,0.0490,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121714,0.0500,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121715,0.0510,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121716,0.0520,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121717,0.0530,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121718,0.0540,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121719,0.0550,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121720,0.0560,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121721,0.0570,440,-2.1190,3946,70,0.00,100% MVC,31.20,MVC
121722,0.0580,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121723,0.0590,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121724,0.0600,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121725,0.0610,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121726,0.0620,444,1.8810,3946,70,0.00,100% MVC,31.20,MVC
121727,0.0630,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121728,0.0640,444,1.8810,3946,70,0.00,100% MVC,31.20,MVC
121729,0.0650,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121730,0.0660,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
121731,0.0670,444,1.8810,3946,70,0.00,100% MVC,31.20,MVC
121732,0.0680,442,-0.1190,3946,70,0.00,100% MVC,31.20,MVC
121733,0.0690,441,-1.1190,3946,70,0.00,100% MVC,31.20,MVC
121734,0.0700,444,1.8810,3946,70,0.00,100% MVC,31.20,MVC
121735,0.0710,444,1.8810,3946,70,0.00,100% MVC,31.20,MVC
121736,0.0720,443,0.8810,3946,70,0.00,100% MVC,31.20,MVC
