subject_id,S02
muscle,FF
test_type,Controlled_Force
mvc_trial1_kg,18.20
mvc_trial2_kg,19.10
mvc_trial3_kg,19.20
mvc_kg_100_percent,19.20
manual_mvc_trial_kg,
mvc_level,100% MVC
target_force_kg,19.20
sample_rate,1000
baseline,442.2640
rms,3.6342
battery_mv_last,3952
battery_percent_last,70
record_time,2026-07-24 16:19:19

sample_index,time_sec,adc_raw,emg_centered,battery_mv,battery_percent,mvc_kg_100_percent,mvc_level,target_force_kg,test_type
1022592,0.0000,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022593,0.0010,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022594,0.0020,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022595,0.0030,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022596,0.0040,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022597,0.0050,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022598,0.0060,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022599,0.0070,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022600,0.0080,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022601,0.0090,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022602,0.0100,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022603,0.0110,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022604,0.0120,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022605,0.0130,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022606,0.0140,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022607,0.0150,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022608,0.0160,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022609,0.0170,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022610,0.0180,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022611,0.0190,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022612,0.0200,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022613,0.0210,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022614,0.0220,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022615,0.0230,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022616,0.0240,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022617,0.0250,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022618,0.0260,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022619,0.0270,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022620,0.0280,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022621,0.0290,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022622,0.0300,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022623,0.0310,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022624,0.0320,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022625,0.0330,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022626,0.0340,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022627,0.0350,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022628,0.0360,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022629,0.0370,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022630,0.0380,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022631,0.0390,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022632,0.0400,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022633,0.0410,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022634,0.0420,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022635,0.0430,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022636,0.0440,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022637,0.0450,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022638,0.0460,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022639,0.0470,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022640,0.0480,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022641,0.0490,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022642,0.0500,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022643,0.0510,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022644,0.0520,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022645,0.0530,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022646,0.0540,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022647,0.0550,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022648,0.0560,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022649,0.0570,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022650,0.0580,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022651,0.0590,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022652,0.0600,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022653,0.0610,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022654,0.0620,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022655,0.0630,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022656,0.0640,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022657,0.0650,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022658,0.0660,445,2.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022659,0.0670,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022660,0.0680,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022661,0.0690,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022662,0.0700,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022663,0.0710,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022664,0.0720,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022665,0.0730,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022666,0.0740,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022667,0.0750,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022668,0.0760,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022669,0.0770,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022670,0.0780,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022671,0.0790,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022672,0.0800,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022673,0.0810,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022674,0.0820,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022675,0.0830,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022676,0.0840,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022677,0.0850,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022678,0.0860,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022679,0.0870,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022680,0.0880,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022681,0.0890,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022682,0.0900,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022683,0.0910,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022684,0.0920,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022685,0.0930,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022686,0.0940,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022687,0.0950,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022688,0.0960,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022689,0.0970,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022690,0.0980,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022691,0.0990,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022692,0.1000,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022693,0.1010,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022694,0.1020,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022695,0.1030,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022696,0.1040,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022697,0.1050,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022698,0.1060,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022699,0.1070,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022700,0.1080,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022701,0.1090,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022702,0.1100,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022703,0.1110,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022704,0.1120,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022705,0.1130,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022706,0.1140,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022707,0.1150,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022708,0.1160,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022709,0.1170,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022710,0.1180,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022711,0.1190,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022712,0.1200,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022713,0.1210,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022714,0.1220,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022715,0.1230,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022716,0.1240,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022717,0.1250,441,-1.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022718,0.1260,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022719,0.1270,443,0.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022720,0.1280,442,-0.2640,3953,70,19.20,100% MVC,19.20,Controlled_Force
1022721,0.1290,444,1.7360,3953,70,19.20,100% MVC,19.20,Controlled_Force
