subject_id,S02
muscle,FF
test_type,MVC
mvc_trial1_kg,18.20
mvc_trial2_kg,19.10
mvc_trial3_kg,19.20
mvc_kg_100_percent,0.00
manual_mvc_trial_kg,19.2
mvc_level,100% MVC
target_force_kg,19.20
sample_rate,1000
baseline,442.5370
rms,2.9121
battery_mv_last,3955
battery_percent_last,70
record_time,2026-07-24 16:10:24

sample_index,time_sec,adc_raw,emg_centered,battery_mv,battery_percent,mvc_kg_100_percent,mvc_level,target_force_kg,test_type
457600,0.0000,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457601,0.0010,444,1.4630,3956,70,0.00,100% MVC,19.20,MVC
457602,0.0020,444,1.4630,3956,70,0.00,100% MVC,19.20,MVC
457603,0.0030,445,2.4630,3956,70,0.00,100% MVC,19.20,MVC
457604,0.0040,445,2.4630,3956,70,0.00,100% MVC,19.20,MVC
457605,0.0050,444,1.4630,3956,70,0.00,100% MVC,19.20,MVC
457606,0.0060,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457607,0.0070,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457608,0.0080,444,1.4630,3956,70,0.00,100% MVC,19.20,MVC
457609,0.0090,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457610,0.0100,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457611,0.0110,444,1.4630,3956,70,0.00,100% MVC,19.20,MVC
457612,0.0120,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457613,0.0130,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457614,0.0140,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457615,0.0150,444,1.4630,3956,70,0.00,100% MVC,19.20,MVC
457616,0.0160,444,1.4630,3956,70,0.00,100% MVC,19.20,MVC
457617,0.0170,446,3.4630,3956,70,0.00,100% MVC,19.20,MVC
457618,0.0180,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457619,0.0190,445,2.4630,3956,70,0.00,100% MVC,19.20,MVC
457620,0.0200,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457621,0.0210,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457622,0.0220,444,1.4630,3956,70,0.00,100% MVC,19.20,MVC
457623,0.0230,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457624,0.0240,444,1.4630,3956,70,0.00,100% MVC,19.20,MVC
457625,0.0250,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457626,0.0260,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457627,0.0270,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457628,0.0280,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457629,0.0290,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457630,0.0300,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457631,0.0310,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457632,0.0320,441,-1.5370,3956,70,0.00,100% MVC,19.20,MVC
457633,0.0330,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457634,0.0340,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457635,0.0350,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457636,0.0360,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457637,0.0370,441,-1.5370,3956,70,0.00,100% MVC,19.20,MVC
457638,0.0380,441,-1.5370,3956,70,0.00,100% MVC,19.20,MVC
457639,0.0390,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457640,0.0400,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457641,0.0410,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457642,0.0420,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457643,0.0430,441,-1.5370,3956,70,0.00,100% MVC,19.20,MVC
457644,0.0440,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457645,0.0450,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457646,0.0460,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457647,0.0470,441,-1.5370,3956,70,0.00,100% MVC,19.20,MVC
457648,0.0480,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457649,0.0490,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457650,0.0500,441,-1.5370,3956,70,0.00,100% MVC,19.20,MVC
457651,0.0510,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457652,0.0520,444,1.4630,3956,70,0.00,100% MVC,19.20,MVC
457653,0.0530,441,-1.5370,3956,70,0.00,100% MVC,19.20,MVC
457654,0.0540,442,-0.5370,3956,70,0.00,100% MVC,19.20,MVC
457655,0.0550,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457656,0.0560,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
457657,0.0570,444,1.4630,3956,70,0.00,100% MVC,19.20,MVC
457658,0.0580,443,0.4630,3956,70,0.00,100% MVC,19.20,MVC
