subject_id,S02
muscle,FF
test_type,Controlled_Force
mvc_trial1_kg,21.30
mvc_trial2_kg,20.60
mvc_trial3_kg,18.30
mvc_kg_100_percent,21.30
manual_mvc_trial_kg,
mvc_level,60% MVC
target_force_kg,12.78
sample_rate,1000
baseline,442.0250
rms,7.0807
battery_mv_last,3936
battery_percent_last,70
record_time,2026-07-24 17:14:53

sample_index,time_sec,adc_raw,emg_centered,battery_mv,battery_percent,mvc_kg_100_percent,mvc_level,target_force_kg,test_type
1851456,0.0000,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851457,0.0010,443,0.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851458,0.0020,443,0.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851459,0.0030,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851460,0.0040,444,1.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851461,0.0050,443,0.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851462,0.0060,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851463,0.0070,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851464,0.0080,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851465,0.0090,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851466,0.0100,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851467,0.0110,443,0.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851468,0.0120,444,1.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851469,0.0130,443,0.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851470,0.0140,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851471,0.0150,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851472,0.0160,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851473,0.0170,440,-2.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851474,0.0180,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851475,0.0190,444,1.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851476,0.0200,444,1.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851477,0.0210,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851478,0.0220,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851479,0.0230,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851480,0.0240,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851481,0.0250,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851482,0.0260,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851483,0.0270,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851484,0.0280,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851485,0.0290,443,0.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851486,0.0300,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851487,0.0310,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851488,0.0320,443,0.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851489,0.0330,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851490,0.0340,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851491,0.0350,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851492,0.0360,443,0.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851493,0.0370,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851494,0.0380,440,-2.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851495,0.0390,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851496,0.0400,444,1.9750,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851497,0.0410,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851498,0.0420,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851499,0.0430,442,-0.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851500,0.0440,441,-1.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851501,0.0450,440,-2.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
1851502,0.0460,440,-2.0250,3935,70,21.30,60% MVC,12.78,Controlled_Force
