subject_id,S02
muscle,FF
test_type,MVC
mvc_trial1_kg,21.30
mvc_trial2_kg,20.60
mvc_trial3_kg,0.00
mvc_kg_100_percent,0.00
manual_mvc_trial_kg,20.6
mvc_level,100% MVC
target_force_kg,20.60
sample_rate,1000
baseline,441.9720
rms,11.0264
battery_mv_last,3946
battery_percent_last,70
record_time,2026-07-24 16:46:18

sample_index,time_sec,adc_raw,emg_centered,battery_mv,battery_percent,mvc_kg_100_percent,mvc_level,target_force_kg,test_type
121344,0.0000,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
121345,0.0010,441,-0.9720,3947,70,0.00,100% MVC,20.60,MVC
121346,0.0020,443,1.0280,3947,70,0.00,100% MVC,20.60,MVC
121347,0.0030,441,-0.9720,3947,70,0.00,100% MVC,20.60,MVC
121348,0.0040,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
121349,0.0050,443,1.0280,3947,70,0.00,100% MVC,20.60,MVC
121350,0.0060,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
121351,0.0070,440,-1.9720,3947,70,0.00,100% MVC,20.60,MVC
121352,0.0080,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
121353,0.0090,440,-1.9720,3947,70,0.00,100% MVC,20.60,MVC
121354,0.0100,441,-0.9720,3947,70,0.00,100% MVC,20.60,MVC
121355,0.0110,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
121356,0.0120,443,1.0280,3947,70,0.00,100% MVC,20.60,MVC
121357,0.0130,444,2.0280,3947,70,0.00,100% MVC,20.60,MVC
121358,0.0140,443,1.0280,3947,70,0.00,100% MVC,20.60,MVC
121359,0.0150,443,1.0280,3947,70,0.00,100% MVC,20.60,MVC
121360,0.0160,443,1.0280,3947,70,0.00,100% MVC,20.60,MVC
121361,0.0170,444,2.0280,3947,70,0.00,100% MVC,20.60,MVC
121362,0.0180,443,1.0280,3947,70,0.00,100% MVC,20.60,MVC
121363,0.0190,443,1.0280,3947,70,0.00,100% MVC,20.60,MVC
121364,0.0200,443,1.0280,3947,70,0.00,100% MVC,20.60,MVC
121365,0.0210,443,1.0280,3947,70,0.00,100% MVC,20.60,MVC
121366,0.0220,441,-0.9720,3947,70,0.00,100% MVC,20.60,MVC
121367,0.0230,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
121368,0.0240,445,3.0280,3947,70,0.00,100% MVC,20.60,MVC
121369,0.0250,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
121370,0.0260,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
121371,0.0270,441,-0.9720,3947,70,0.00,100% MVC,20.60,MVC
121372,0.0280,441,-0.9720,3947,70,0.00,100% MVC,20.60,MVC
121373,0.0290,440,-1.9720,3947,70,0.00,100% MVC,20.60,MVC
121374,0.0300,440,-1.9720,3947,70,0.00,100% MVC,20.60,MVC
121375,0.0310,441,-0.9720,3947,70,0.00,100% MVC,20.60,MVC
121376,0.0320,444,2.0280,3947,70,0.00,100% MVC,20.60,MVC
121377,0.0330,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
121378,0.0340,440,-1.9720,3947,70,0.00,100% MVC,20.60,MVC
121379,0.0350,439,-2.9720,3947,70,0.00,100% MVC,20.60,MVC
121380,0.0360,440,-1.9720,3947,70,0.00,100% MVC,20.60,MVC
121381,0.0370,441,-0.9720,3947,70,0.00,100% MVC,20.60,MVC
121382,0.0380,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
121383,0.0390,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
121384,0.0400,441,-0.9720,3947,70,0.00,100% MVC,20.60,MVC
121385,0.0410,442,0.0280,3947,70,0.00,100% MVC,20.60,MVC
